caldwell,catalog,con,type,ra_h,dec_deg,mag,size_arcmin,name,source
C1,NGC 188,Cep,OC,0.7400,85.3333,8.1,14,,Astronomical League Caldwell Program Object List
C2,NGC 40,Cep,PN,0.2167,72.5333,11.6,0.6,,Astronomical League Caldwell Program Object List
C3,NGC 4236,Dra,SbG,12.2783,69.4667,9.7,21x7,,Astronomical League Caldwell Program Object List
C4,NGC 7023,Cep,BN,21.0300,68.2000,6.8,18x18,Iris Nebula,Astronomical League Caldwell Program Object List
C5,IC 342,Cam,SBcG,3.7800,68.1000,9.2,18x17,,Astronomical League Caldwell Program Object List
C6,NGC 6543,Dra,PN,17.9767,66.6333,8.8,0.3/5.8,Cat's Eye Nebula,Astronomical League Caldwell Program Object List
C7,NGC 2403,Cam,ScG,7.6150,65.6000,8.9,18x10,,Astronomical League Caldwell Program Object List
C8,NGC 559,Cas,OC,1.4917,63.3000,9.5,4,,Astronomical League Caldwell Program Object List
C9,Sh2-155,Cep,BN,22.9467,62.6167,7.7,50x10,Cave Nebula,Astronomical League Caldwell Program Object List
C10,NGC 663,Cas,OC,1.7667,61.2500,7.1,16,,Astronomical League Caldwell Program Object List
C11,NGC 7635,Cas,BN,23.3450,61.2000,7.0,15x8,Bubble Nebula,Astronomical League Caldwell Program Object List
C12,NGC 6946,Cep,ScG,20.5800,60.1500,9.7,11x9,,Astronomical League Caldwell Program Object List
C13,NGC 457,Cas,OC,1.3183,58.3333,6.4,13,Phi Cassiopeiae Cluster,Astronomical League Caldwell Program Object List
C14,NGC 869/884,Per,OC,2.3333,57.1333,4.3,30+30,Double Cluster,Astronomical League Caldwell Program Object List
C15,NGC 6826,Cyg,PN,19.7467,50.5167,9.8,0.5/2.3,Blinking Planetary Nebula,Astronomical League Caldwell Program Object List
C16,NGC 7243,Lac,OC,22.2550,49.8833,6.4,21,,Astronomical League Caldwell Program Object List
C17,NGC 147,Cas,dE4G,0.5533,48.5000,9.3,13x8,,Astronomical League Caldwell Program Object List
C18,NGC 185,Cas,dE0G,0.6500,48.3333,9.2,12x9,,Astronomical League Caldwell Program Object List
C19,IC 5146,Cyg,BN,21.8917,47.2667,10.0,12x12,Cocoon Nebula,Astronomical League Caldwell Program Object List
C20,NGC 7000,Cyg,BN,20.9800,44.3333,6.0,120x100,North America Nebula,Astronomical League Caldwell Program Object List
C21,NGC 4449,CVn,IG,12.4700,44.1000,9.4,5x3,,Astronomical League Caldwell Program Object List
C22,NGC 7662,And,PN,23.4317,42.5500,9.2,0.3/2.2,,Astronomical League Caldwell Program Object List
C23,NGC 891,And,SbG,2.3767,42.3500,9.9,14x2,,Astronomical League Caldwell Program Object List
C24,NGC 1275,Per,SeyfertG,3.3300,41.5167,11.6,2.6x1,Perseus A,Astronomical League Caldwell Program Object List
C25,NGC 2419,Lyn,GC,7.6350,38.8833,10.4,4.1,,Astronomical League Caldwell Program Object List
C26,NGC 4244,CVn,SG,12.2917,37.8167,10.6,16x2.5,,Astronomical League Caldwell Program Object List
C27,NGC 6888,Cyg,BN,20.2000,38.3500,7.5,20x10,Crescent Nebula,Astronomical League Caldwell Program Object List
C28,NGC 752,And,OC,1.9633,37.6833,5.7,50,,Astronomical League Caldwell Program Object List
C29,NGC 5005,CVn,SbG,13.1817,37.0500,9.8,5.4x2,,Astronomical League Caldwell Program Object List
C30,NGC 7331,Peg,SbG,22.6183,34.4167,9.5,11x4,,Astronomical League Caldwell Program Object List
C31,IC 405,Aur,BN,5.2700,34.2667,6.0,30x19,Flaming Star Nebula,Astronomical League Caldwell Program Object List
C32,NGC 4631,CVn,ScG,12.7017,32.5333,9.3,15x3,Whale Galaxy,Astronomical League Caldwell Program Object List
C33,NGC 6992/6995,Cyg,SN,20.9400,31.7167,,60x8,Eastern Veil Nebula,Astronomical League Caldwell Program Object List
C34,NGC 6960,Cyg,SN,20.7617,30.7167,,70x6,Western Veil Nebula,Astronomical League Caldwell Program Object List
C35,NGC 4889,Com,E4G,13.0017,27.9833,11.4,3x2,,Astronomical League Caldwell Program Object List
C36,NGC 4559,Com,ScG,12.6000,27.9667,9.8,10x4,,Astronomical League Caldwell Program Object List
C37,NGC 6885,Vul,OC,20.2000,26.4833,5.7,7,,Astronomical League Caldwell Program Object List
C38,NGC 4565,Com,SbG,12.6050,25.9833,9.6,16x3,Needle Galaxy,Astronomical League Caldwell Program Object List
C39,NGC 2392,Gem,PN,7.4867,20.9167,9.9,0.2/0.7,Clown Face Nebula,Astronomical League Caldwell Program Object List
C40,NGC 3626,Leo,SbG,11.3350,18.3500,10.9,3x2,,Astronomical League Caldwell Program Object List
C41,Hyades,Tau,OC,4.4500,16.0000,1.0,330,Hyades,Astronomical League Caldwell Program Object List
C42,NGC 7006,Del,GC,21.0250,16.1833,10.6,2.8,,Astronomical League Caldwell Program Object List
C43,NGC 7814,Peg,SbG,0.0550,16.1500,10.5,6x2,,Astronomical League Caldwell Program Object List
C44,NGC 7479,Peg,SBbG,23.0817,12.3167,11.0,4x3,,Astronomical League Caldwell Program Object List
C45,NGC 5248,Boo,ScG,13.6250,8.8833,10.2,6x4,,Astronomical League Caldwell Program Object List
C46,NGC 2261,Mon,BN,6.6533,8.7333,10.0,2x1,Hubble's Variable Nebula,Astronomical League Caldwell Program Object List
